username,commentor,URL,Date,Time,Likes,Captions,Comments
vangalapudianitha,bhagavan_31_93,https://www.instagram.com/vangalapudianitha/p/DL6YvxdPGXg/,2025-07-21,08:09:52,,,S̶u̶p̶e̶r̶ m̶a̶d̶a̶m̶ 🥰🥰🥰
vangalapudianitha,mkasim143,https://www.instagram.com/vangalapudianitha/p/DL6YvxdPGXg/,2025-07-10,14:05:55,,,🤝
vangalapudianitha,rameshmari857gmail.com9,https://www.instagram.com/vangalapudianitha/p/DL6YvxdPGXg/,2025-07-10,13:05:18,,,❤️👏👏👏👏👏👏👏👏👏👏👏✌️✌️✌️✌️🙏🙏🙏🙏
vangalapudianitha,vangalapudianitha,https://www.instagram.com/vangalapudianitha/p/DFjixU3vPa_/,2025-02-02,03:28:56,360,"కేంద్ర బడ్జెట్ లో పోలవరం, విశాఖ పోర్టు, విశాఖ స్టీల్ ప్లాంట్ తో పాటు.. రాష్ట్రానికి మరో వెయ్యి కోట్లకు పైగా కేటాయింపులు జరగడం శుభపరిణామం. గత ఐదేళ్ల విధ్వంస పాలన నుంచి గౌరవ ముఖ్యమంత్రి శ్రీ @ncbn.official గారి ఆధ్వర్యంలో ఇప్పుడిప్పుడే కోలుకుంటున్న రాష్ట్రానికి ఉతమిచ్చిన ప్రధాని శ్రీ @narendramodi గారికి, ఆర్థిక మంత్రి శ్రీమతి @nsitharaman గారికి కృతజ్ఞతలు.

#budget2025 #narendramodi #niramalasitaraman #telugudesamparty #chandrababunaidu #andhrapradesh #naralokesh #apcmchandrababunaidu #itministernaralokesh #vangalapudianitha #homeministeranitha #vangalapudianithaarmy",
vangalapudianitha,bangaram_s6668,https://www.instagram.com/vangalapudianitha/p/DFjixU3vPa_/,2025-02-11,12:25:51,,,Babu madam 🤔 Najam cheppu Madam please help me Madam 👏👏👏
vangalapudianitha,sikindar1991,https://www.instagram.com/vangalapudianitha/p/DFjixU3vPa_/,2025-02-02,07:27:03,,,అస్సలు ఆంధ్ర కి ప్రాధాన్యత లేదు అని అందరూ అంటుంటే మీరు ఏమిటి మేడం
vangalapudianitha,vangalapudianitha,https://www.instagram.com/vangalapudianitha/p/DGx1vaeTbpX/,2025-03-04,13:16:26,859,"మహిళా దినోత్సవ ఏర్పాట్లపై రాష్ట్ర సచివాలయంలో సహచర మంత్రులు శ్రీమతి @gummidi_sandhyarani గారు, శ్రీమతి @ssavithaofficial గారితో కలిసి అధికారులతో సమీక్ష నిర్వహించాను. ఈ నెల 8వ తేదీన ప్రకాశం జిల్లా మార్కాపురంలో నిర్వహించబోయే అంతర్జాతీయ మహిళా దినోత్సవాన్ని సమన్వయంతో నిర్వహించి విజయవంతం చేయాలని అధికారులను ఆదేశించడం జరిగింది. మహిళా దినోత్సవానికి ముఖ్యమంత్రి శ్రీ @ncbn.official గారు హాజరు కానున్న నేపథ్యంలో భద్రతా ఏర్పాట్లు పటిష్టంగా చేయాలని ఆదేశించడం జరిగింది. 

#Womensday #Markapuram #InternationalWomensday #ChandrababuNaidu #AndhraPradesh #NaraLokesh #VangalapudiAnitha #HomeMinisterAnitha #VangalapudiAnithaArmy #GummidiSandhyarani #MinisterSavitha",
vangalapudianitha,hemanth_risky,https://www.instagram.com/vangalapudianitha/p/DGx1vaeTbpX/,2025-03-04,17:01:20,,,Mam😍
vangalapudianitha,gani.jasw,https://www.instagram.com/vangalapudianitha/p/DGx1vaeTbpX/,2025-03-04,13:55:09,,,🔥🔥
vangalapudianitha,srinu_mudasala,https://www.instagram.com/vangalapudianitha/p/DGx1vaeTbpX/,2025-03-04,16:19:41,,,👏👏
